Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Age_Category,Age_Married_Category
Male,No,22.0,No,Healthcare,1.0,Low,4.0,Cat_4,D,Young,Young_No
Female,Yes,38.0,Yes,Engineer,1.0,Average,3.0,Cat_4,A,Middle-aged,Middle-aged_Yes
Female,Yes,67.0,Yes,Engineer,1.0,Low,1.0,Cat_6,B,Senior,Senior_Yes
Male,Yes,67.0,Yes,Lawyer,0.0,High,2.0,Cat_6,B,Senior,Senior_Yes
Female,Yes,40.0,Yes,Entertainment,1.0,High,6.0,Cat_6,A,Middle-aged,Middle-aged_Yes
Male,Yes,56.0,No,Artist,0.0,Average,2.0,Cat_6,C,Senior,Senior_Yes
Male,No,32.0,Yes,Healthcare,1.0,Low,3.0,Cat_6,C,Middle-aged,Middle-aged_No
Female,No,33.0,Yes,Healthcare,1.0,Low,3.0,Cat_6,D,Middle-aged,Middle-aged_No
Female,Yes,61.0,Yes,Engineer,0.0,Low,3.0,Cat_7,D,Senior,Senior_Yes
Female,Yes,55.0,Yes,Artist,1.0,Average,4.0,Cat_6,C,Senior,Senior_Yes
Female,No,26.0,Yes,Engineer,1.0,Low,3.0,Cat_6,A,Young,Young_No
Male,No,19.0,No,Healthcare,4.0,Low,4.0,Cat_4,D,Young,Young_No
Female,No,19.0,No,Executive,0.0,Low,3.0,Cat_3,D,Young,Young_No
Male,Yes,70.0,No,Lawyer,1.0,Low,1.0,Cat_6,A,Senior,Senior_Yes
Female,Yes,58.0,No,Doctor,0.0,Low,1.0,Cat_3,B,Senior,Senior_Yes
Female,No,41.0,No,Healthcare,1.0,Low,2.0,Cat_1,C,Middle-aged,Middle-aged_No
Female,No,32.0,No,Homemaker,9.0,Low,5.0,Cat_3,D,Middle-aged,Middle-aged_No
Male,No,31.0,No,Healthcare,1.0,Low,6.0,Cat_6,B,Middle-aged,Middle-aged_No
Male,Yes,58.0,Yes,Entertainment,1.0,Average,4.0,Cat_6,B,Senior,Senior_Yes
Female,Yes,79.0,Yes,Artist,0.0,High,1.0,Cat_6,C,Senior,Senior_Yes
Male,Yes,49.0,Yes,Homemaker,10.0,Low,1.0,Cat_3,A,Middle-aged,Middle-aged_Yes
Female,No,18.0,No,Healthcare,3.0,Low,4.0,Cat_6,D,Young,Young_No
Male,Yes,33.0,Yes,Artist,10.0,Low,2.0,Cat_3,A,Middle-aged,Middle-aged_Yes
Female,No,36.0,Yes,Artist,5.0,Low,2.0,Cat_6,B,Middle-aged,Middle-aged_No
Female,Yes,58.0,No,Executive,1.0,Average,3.0,Cat_3,B,Senior,Senior_Yes
Male,Yes,56.0,No,Artist,1.0,Average,3.0,Cat_6,C,Senior,Senior_Yes
Male,No,31.0,No,Healthcare,9.0,Low,7.0,Cat_4,A,Middle-aged,Middle-aged_No
Male,Yes,49.0,Yes,Artist,1.0,Average,3.0,Cat_6,C,Middle-aged,Middle-aged_Yes
Male,No,35.0,Yes,Artist,0.0,Low,1.0,Cat_6,B,Middle-aged,Middle-aged_No
Female,No,35.0,No,Artist,5.0,Low,4.0,Cat_6,C,Middle-aged,Middle-aged_No
Female,Yes,45.0,Yes,Artist,0.0,Low,3.0,Cat_6,C,Middle-aged,Middle-aged_Yes
Female,Yes,42.0,No,Doctor,1.0,Low,2.0,Cat_4,A,Middle-aged,Middle-aged_Yes
Male,No,19.0,No,Healthcare,1.0,Low,3.0,Cat_2,D,Young,Young_No
Male,No,26.0,No,Homemaker,9.0,Low,3.0,Cat_6,D,Young,Young_No
Female,Yes,83.0,No,Lawyer,1.0,High,2.0,Cat_6,D,Senior,Senior_Yes
Female,No,27.0,Yes,Healthcare,3.0,Low,4.0,Cat_1,D,Young,Young_No
Male,No,32.0,No,Doctor,5.0,Low,1.0,Cat_4,D,Middle-aged,Middle-aged_No
Female,Yes,28.0,No,Healthcare,1.0,Average,5.0,Cat_3,D,Young,Young_Yes
Female,Yes,28.0,Yes,Artist,8.0,Low,2.0,Cat_6,A,Young,Young_Yes
Male,Yes,56.0,Yes,Artist,1.0,Average,2.0,Cat_6,C,Senior,Senior_Yes
Female,No,47.0,Yes,Artist,4.0,Low,1.0,Cat_6,B,Middle-aged,Middle-aged_No
Female,No,22.0,No,Healthcare,0.0,Low,2.0,Cat_6,D,Young,Young_No
Female,No,27.0,Yes,Artist,10.0,Low,3.0,Cat_6,A,Young,Young_No
Female,Yes,49.0,Yes,Artist,1.0,Low,2.0,Cat_6,C,Middle-aged,Middle-aged_Yes
Male,Yes,40.0,No,Engineer,8.0,Low,1.0,Cat_6,A,Middle-aged,Middle-aged_Yes
Female,Yes,79.0,No,Lawyer,1.0,High,2.0,Cat_6,A,Senior,Senior_Yes
Male,Yes,41.0,Yes,Artist,0.0,Average,4.0,Cat_4,B,Middle-aged,Middle-aged_Yes
Female,No,29.0,Yes,Healthcare,1.0,Low,1.0,Cat_7,A,Young,Young_No
Male,No,19.0,No,Healthcare,0.0,Low,4.0,Cat_6,D,Young,Young_No
Female,No,45.0,Yes,Engineer,1.0,Low,1.0,Cat_6,A,Middle-aged,Middle-aged_No
Female,Yes,61.0,No,Artist,1.0,Average,2.0,Cat_2,B,Senior,Senior_Yes
Female,Yes,36.0,Yes,Artist,1.0,Average,2.0,Cat_6,C,Middle-aged,Middle-aged_Yes
Male,Yes,40.0,Yes,Artist,1.0,Low,1.0,Cat_3,A,Middle-aged,Middle-aged_Yes
Female,Yes,57.0,Yes,Entertainment,0.0,Average,2.0,Cat_6,C,Senior,Senior_Yes
Male,Yes,76.0,No,Marketing,1.0,Low,1.0,Cat_4,A,Senior,Senior_Yes
Male,Yes,32.0,Yes,Artist,10.0,Average,2.0,Cat_6,B,Middle-aged,Middle-aged_Yes
Male,No,25.0,Yes,Healthcare,9.0,Low,4.0,Cat_6,D,Young,Young_No
Male,No,32.0,Yes,Doctor,8.0,Low,2.0,Cat_6,D,Middle-aged,Middle-aged_No
Female,Yes,45.0,Yes,Artist,1.0,Average,3.0,Cat_3,C,Middle-aged,Middle-aged_Yes
Male,Yes,72.0,Yes,Lawyer,1.0,Low,3.0,Cat_4,D,Senior,Senior_Yes
Male,Yes,48.0,Yes,Artist,0.0,Average,2.0,Cat_6,C,Middle-aged,Middle-aged_Yes
Male,Yes,55.0,Yes,Artist,9.0,Average,2.0,Cat_1,C,Senior,Senior_Yes
Male,Yes,74.0,Yes,Lawyer,0.0,High,3.0,Cat_6,D,Senior,Senior_Yes
Male,Yes,56.0,Yes,Lawyer,1.0,High,2.0,Cat_6,A,Senior,Senior_Yes
Male,Yes,59.0,Yes,Lawyer,7.0,High,2.0,Cat_6,A,Senior,Senior_Yes
Male,No,25.0,Yes,Entertainment,0.0,Low,2.0,Cat_6,A,Young,Young_No
Male,Yes,31.0,Yes,Doctor,0.0,Average,2.0,Cat_6,A,Middle-aged,Middle-aged_Yes
